freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4142100,GJ_GCV,X_VAT,NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.7600 	25.4500 	25.1700 	24.5700 	23.8900 	24.3200 	: 	22.7900 	23.0200 	23.1800 	26.0100 	27.0500 	28.6300 	30.7600 	30.5900 
S,4100,4142100,GJ_GCV,X_VAT,NAC,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.9100 	7.3600 	8.0600 	7.7600 	7.6800 	: 	8.2000 	9.0600 	9.9700 	9.8400 	10.1600 	9.3900 
S,4100,4142100,GJ_GCV,X_VAT,NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.1500 	9.5200 	11.6300 	12.8200 	14.1400 	18.9762 	22.9279 	24.0648 	25.2325 	25.1700 
S,4100,4142100,GJ_GCV,X_VAT,NAC,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82.6000 	96.9000 	: 	127.8000 	129.3000 	118.2000 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5371 	2.5371 	2.5412 	2.5412 	2.8166 	3.0754 	4.0059 	3.6971 	3.4718 	3.4760 	4.2730 	5.2995 	7.2064 	7.6780 	6.4679 	5.9755 	5.0867 	5.0366 	4.7570 	5.1534 	6.1549 	6.8518 	8.2246 	8.3748 	8.4000 	8.0500 
S,4100,4142100,GJ_GCV,X_VAT,NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	226.0000 	226.0000 	208.0000 	207.0000 	296.0000 	287.0000 	279.0000 	263.0000 
S,4100,4142100,GJ_GCV,X_VAT,NAC,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0300 
S,4100,4142100,GJ_GCV,X_VAT,NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8200 	: 	2.1380 	2.4030 	2.4030 	2.4490 	2.4900 	2.5650 	2.5000 	2.5440 	2.7570 	2.8640 	3.8560 	3.8390 	3.6820 	3.6410 	3.0680 	3.7010 	3.4510 	4.7010 	5.2610 	6.6210 	7.6720 	7.8010 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.7200 	108.8700 	111.8400 	8.0700 	8.2600 	6.6800 	: 	: 	7.8500 	8.5000 	8.8700 	10.8200 	10.6200 	11.3800 	11.0300 
S,4100,4142100,GJ_GCV,X_VAT,NAT,BE	337.4000 	319.6000 	193.5000 	187.3000 	174.5000 	199.0400 	215.7000 	212.0000 	204.6000 	193.8000 	189.6000 	189.1000 	191.1000 	186.6000 	185.6000 	184.4000 	180.2000 	182.2000 	192.0000 	201.4000 	198.4000 	186.2000 	171.9000 	169.2000 	210.7000 	244.6000 	284.6000 	259.0000 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.3600 	9.0300 	: 	8.7500 
S,4100,4142100,GJ_GCV,X_VAT,NAT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.1900 	9.1050 	9.0780 	8.2900 	10.9630 	10.8250 	11.7490 	11.3230 
S,4100,4142100,GJ_GCV,X_VAT,NAT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	117.1000 	130.4500 	155.6240 	158.4030 	163.9610 	147.2870 	140.4680 	153.0630 	146.3520 	140.2900 	160.8100 	164.9700 	216.7300 	224.3600 	190.2500 	192.9300 
S,4100,4142100,GJ_GCV,X_VAT,NAT,DE	15.2200 	15.4800 	10.5500 	8.4800 	8.8500 	10.4600 	12.4100 	12.8300 	12.2900 	11.8800 	11.5300 	11.5100 	11.5600 	11.2400 	11.0000 	10.6900 	10.4700 	10.6900 	11.5300 	12.0600 	11.5800 	11.4200 	10.4200 	10.4900 	11.1600 	13.7600 	16.5500 	17.0300 	8.2200 	7.3900 	8.2500 	8.5500 	8.0850 	8.6000 	9.2500 	10.1100 	11.8600 	12.5300 	13.6400 	11.8000 
S,4100,4142100,GJ_GCV,X_VAT,NAT,DK	: 	: 	: 	: 	: 	: 	: 	38.4000 	36.5000 	36.2000 	38.8000 	41.0000 	38.8000 	38.8000 	36.5000 	34.3000 	38.8000 	41.0000 	49.2000 	45.7000 	47.6000 	41.4000 	36.8000 	42.4000 	60.2000 	65.5000 	82.8000 	69.1000 	56.9000 	60.7000 	62.6000 	57.9000 	63.7000 	78.3000 	89.0000 	85.0000 	93.0000 	111.4000 	92.9000 	96.9000 
S,4100,4142100,GJ_GCV,X_VAT,NAT,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2600 	7.3000 	7.4000 	7.8800 	8.2000 	9.8200 	10.3700 	11.0100 	10.1400 p
S,4100,4142100,GJ_GCV,X_VAT,NAT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56.6920 	: 	56.6916 	56.7500 	53.3300 	53.3300 	56.7000 	62.9100 	66.8400 	76.6400 
S,4100,4142100,GJ_GCV,X_VAT,NAT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9251 	5.1000 	7.0500 	7.2190 	7.2993 	7.2098 
S,4100,4142100,GJ_GCV,X_VAT,NAT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8700 	7.0600 	7.1500 	7.7900 	8.1800 	9.8500 	10.5300 	11.1400 	10.2800 p
S,4100,4142100,GJ_GCV,X_VAT,NAT,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8600 	6.9500 	7.5800 	7.9700 	9.6200 	10.2500 	10.8600 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.4000 	7.8300 	9.4500 	10.0700 	10.6700 	10.0100 p
S,4100,4142100,GJ_GCV,X_VAT,NAT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.0800 	26.7200 	26.2100 	31.6800 	35.2100 	31.3400 	34.2300 	30.3400 	27.9200 	30.7600 	39.7000 	44.9800 	54.7800 	53.6100 	8.3800 	8.4100 	8.5400 	8.5700 	8.4200 	8.5700 	8.6000 	8.9500 	: 	: 	: 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8300 	8.4200 	9.0000 	9.0700 	8.8600 
S,4100,4142100,GJ_GCV,X_VAT,NAT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.7900 	50.7900 	50.7900 	50.7900 	50.7900 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,HU	: 	: 	: 	: 	: 	: 	: 	: 	193.1400 	221.6500 	217.1500 	217.1500 	217.1500 	217.1500 	261.0400 	261.0400 	281.1700 	350.8800 	413.7100 	485.5100 	530.1500 	518.4900 	518.4900 	695.2400 	695.2400 	813.0700 	813.0700 	910.4800 	910.4800 	910.4800 	910.4800 	1019.6200 	1437.3147 	1437.3100 	1437.3100 	1580.5200 	1981.2200 	2127.7000 	2363.4900 	2363.4900 
S,4100,4142100,GJ_GCV,X_VAT,NAT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.1730 	7.1610 	7.1600 	8.9700 	8.9700 	12.0020 	10.8020 
S,4100,4142100,GJ_GCV,X_VAT,NAT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.6680 	8.6680 	8.9310 	8.6450 	9.9100 	10.8650 	11.9160 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.5100 	14.2100 	14.2100 	13.8500 	13.4300 	12.5058 	16.3545 	18.6400 	21.9892 	22.0200 
S,4100,4142100,GJ_GCV,X_VAT,NAT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.0391 	7.6500 	9.1046 	9.5300 	10.0546 	9.0992 
S,4100,4142100,GJ_GCV,X_VAT,NAT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3700 	2.4100 	2.5700 	2.5700 	2.9700 	3.2600 	3.7800 	3.7600 
S,4100,4142100,GJ_GCV,X_VAT,NAT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.3100 	9.3400 	11.0300 	11.1600 	13.0400 	13.1900 	14.5300 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.7600 	25.4500 	25.1700 	24.5700 	23.8900 	24.3200 	: 	22.7900 	23.0200 	23.1800 	26.0100 	27.0500 	28.6300 	30.7600 	30.5900 
S,4100,4142100,GJ_GCV,X_VAT,NAT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.9100 	7.3600 	8.0600 	7.7600 	7.6800 	: 	8.2000 	9.0600 	9.9700 	9.8400 	10.1600 	9.3900 
S,4100,4142100,GJ_GCV,X_VAT,NAT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.1500 	9.5200 	11.6300 	12.8200 	14.1400 	18.9762 	22.9279 	24.0648 	25.2325 	25.1700 
S,4100,4142100,GJ_GCV,X_VAT,NAT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	82.6000 	96.9000 	: 	127.8000 	129.3000 	118.2000 	: 
S,4100,4142100,GJ_GCV,X_VAT,NAT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	608.0000 	608.0000 	609.0000 	609.0000 	675.0000 	737.0000 	960.0000 	886.0000 	832.0000 	833.0000 	1024.0000 	1270.0000 	1727.0000 	1840.0000 	1550.0000 	1432.0000 	1219.0000 	1207.0000 	1140.0000 	1235.0000 	1475.0000 	1642.0000 	1971.0000 	2007.0000 	8.4000 	8.0500 
S,4100,4142100,GJ_GCV,X_VAT,NAT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	226.0000 	226.0000 	208.0000 	207.0000 	296.0000 	287.0000 	279.0000 	263.0000 
S,4100,4142100,GJ_GCV,X_VAT,NAT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.0300 
S,4100,4142100,GJ_GCV,X_VAT,NAT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8200 	: 	2.1380 	2.4030 	2.4030 	2.4490 	2.4900 	2.5650 	2.5000 	2.5440 	2.7570 	2.8640 	3.8560 	3.8390 	3.6820 	3.6410 	3.0680 	3.7010 	3.4510 	4.7010 	5.2610 	6.6210 	7.6720 	7.8010 	: 
S,4100,4142101,GJ_GCV,I_TAX,EUR,BE	: 	: 	: 	: 	: 	: 	: 	5.8645 	5.6972 	5.5045 	5.6214 	5.6063 	5.7039 	5.6865 	5.7095 	5.7853 	5.6189 	5.6018 	5.7798 	5.9659 	5.8906 	5.5368 	5.1562 	5.0744 	6.3188 	7.3376 	8.5375 	7.7690 	7.2900 	7.0900 	7.5060 	7.4780 	7.2694 	7.4000 	: 	: 	10.1100 	: 	: 	: 
S,4100,4142101,GJ_GCV,I_TAX,NAC,BE	: 	: 	: 	: 	: 	: 	: 	6.1478 	5.9321 	5.7412 	5.6173 	5.5999 	5.7065 	5.5726 	5.5429 	5.5082 	5.4041 	5.4661 	5.7586 	6.0412 	5.9519 	5.5850 	5.1562 	5.0744 	6.3188 	7.3376 	8.5375 	7.7690 	7.2900 	7.0900 	7.5060 	7.4780 	7.2694 	7.4000 	: 	: 	10.1100 	: 	: 	: 
S,4100,4142101,GJ_GCV,I_TAX,NAT,BE	: 	: 	: 	: 	: 	: 	: 	248.0000 	239.3000 	231.6000 	226.6000 	225.9000 	230.2000 	224.8000 	223.6000 	222.2000 	218.0000 	220.5000 	232.3000 	243.7000 	240.1000 	225.3000 	208.0000 	204.7000 	254.9000 	296.0000 	344.4000 	313.4000 	7.2900 	7.0900 	7.5060 	7.4780 	7.2694 	7.4000 	: 	: 	10.1100 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_TAX,EUR,BE	: 	: 	: 	: 	: 	: 	: 	5.0132 	4.8710 	4.6061 	4.7035 	4.6930 	4.7351 	4.7202 	4.7392 	4.8011 	4.6446 	4.6288 	4.7771 	4.9304 	4.8676 	4.5759 	4.2613 	4.1944 	5.2231 	6.0635 	7.0550 	6.4204 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.1400 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_TAX,NAC,BE	: 	: 	: 	: 	: 	: 	: 	5.2553 	5.0719 	4.8042 	4.7001 	4.6877 	4.7372 	4.6257 	4.6009 	4.5712 	4.4670 	4.5166 	4.7596 	4.9926 	4.9182 	4.6158 	4.2613 	4.1944 	5.2231 	6.0635 	7.0550 	6.4204 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.1400 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_TAX,NAT,BE	: 	: 	: 	: 	: 	: 	: 	212.0000 	204.6000 	193.8000 	189.6000 	189.1000 	191.1000 	186.6000 	185.6000 	184.4000 	180.2000 	182.2000 	192.0000 	201.4000 	198.4000 	186.2000 	171.9000 	169.2000 	210.7000 	244.6000 	284.6000 	259.0000 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.1400 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_VAT,EUR,BE	: 	: 	: 	: 	: 	: 	: 	5.0132 	4.8710 	4.6061 	4.7035 	4.6930 	4.7351 	4.7202 	4.7392 	4.8011 	4.6446 	4.6288 	4.7771 	4.9304 	4.8676 	4.5759 	4.2613 	4.1944 	5.2231 	6.0635 	7.0550 	6.4204 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.3600 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_VAT,NAC,BE	: 	: 	: 	: 	: 	: 	: 	5.2553 	5.0719 	4.8042 	4.7001 	4.6877 	4.7372 	4.6257 	4.6009 	4.5712 	4.4670 	4.5166 	4.7596 	4.9926 	4.9182 	4.6158 	4.2613 	4.1944 	5.2231 	6.0635 	7.0550 	6.4204 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.3600 	: 	: 	: 
S,4100,4142101,GJ_GCV,X_VAT,NAT,BE	: 	: 	: 	: 	: 	: 	: 	212.0000 	204.6000 	193.8000 	189.6000 	189.1000 	191.1000 	186.6000 	185.6000 	184.4000 	180.2000 	182.2000 	192.0000 	201.4000 	198.4000 	186.2000 	171.9000 	169.2000 	210.7000 	244.6000 	284.6000 	259.0000 	6.0300 	5.8600 	6.2080 	6.1860 	6.0167 	6.1200 	: 	: 	8.3600 	: 	: 	: 
S,4100,4142102,GJ_GCV,I_TAX,EUR,BE	: 	: 	: 	: 	: 	: 	: 	5.8645 	5.6972 	5.5045 	5.6214 	5.6063 	5.7039 	5.6865 	5.7095 	5.7853 	5.6189 	5.6018 	5.7798 	5.9659 	5.8906 	5.5368 	5.1562 	5.0744 	6.3188 	7.3376 	8.5375 	7.7690 	7.2900 	7.0900 	7.5060 	7.4780 	7.2694 	7.4000 	: 	: 	10.1100 	: 	: 	: 
S,4100,4142102,GJ_GCV,I_TAX,NAC,BE	: 	: 	: 	: 	: 	: 	: 	6.1478 	5.9321 	5.7412 	5.6173 	5.5999 	5.7065 	5.5726 	5.5429 	5.5082 	5.4041 	5.4661 	5.7586 	6.0412 	5.9519 	5.5850 	5.1562 	5.0744 	6.3188 	7.3376 	8.5375 	7.7690 	7.2900 	7.0900 	7.5060 	7.4780 	7.2694 	7.4000 	: 	: 	10.1100 	: 	: 	: 
