freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4141250,GJ_GCV,I_TAX,NAT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60.3200 	60.3200 	60.3200 	60.3200 	60.3200 	: 
S,4100,4141250,GJ_GCV,I_TAX,NAT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	220.1300 	220.1300 	248.0400 	248.0400 	262.3500 	262.3500 	408.2400 	408.2400 	440.9000 	570.5300 	677.7800 	772.1300 	839.6600 	839.6600 	839.6600 	827.2800 	827.2800 	926.2800 	926.2800 	1035.3700 	1035.3700 	1035.3700 	1035.3700 	1159.6100 	1465.0600 	1465.0600 	1465.0600 	1629.2000 	1732.7000 	1732.9300 	2513.2100 	2589.1400 
S,4100,4141250,GJ_GCV,I_TAX,NAT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.7890 	14.7890 	14.9200 	14.7890 	16.4400 	16.8600 	18.4660 	: 
S,4100,4141250,GJ_GCV,I_TAX,NAT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.5300 	15.5800 	16.3800 	15.2600 	19.8012 	22.5400 	22.5369 	22.5700 
S,4100,4141250,GJ_GCV,I_TAX,NAT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7906 	8.4400 	9.9800 	10.4300 	11.3608 	10.3481 
S,4100,4141250,GJ_GCV,I_TAX,NAT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8000 	2.8000 	3.0000 	3.0400 	3.5100 	3.7800 	4.5200 	4.3900 
S,4100,4141250,GJ_GCV,I_TAX,NAT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.3660 	11.4000 	13.3600 	13.5200 	15.6400 	15.8100 	17.3700 	: 
S,4100,4141250,GJ_GCV,I_TAX,NAT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.2300 	24.2300 	27.2500 	27.2500 	27.1400 	27.1400 	: 	27.4900 	27.4900 	28.3900 	30.1700 	33.7100 	36.4400 	38.7800 	38.7800 
S,4100,4141250,GJ_GCV,I_TAX,NAT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.9700 	11.0700 	11.8600 	11.7900 	10.8900 	: 	11.3190 	12.3200 	13.4800 	13.0500 	12.8220 	12.9010 
S,4100,4141250,GJ_GCV,I_TAX,NAT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.2900 	24.2656 	27.9187 	29.4272 	30.6963 	30.7500 
